 time  sigma_1  sigma_2  sigma_3  sigma_4  sigma_5  sigma_6  Pressure  Mises  sigma_norm
7.927318e-02   -3.585822e+06  5.105168e+05  1.055366e+09  -1.690905e+07  -1.282431e+07  7.074094e+06  -3.507635e+08  1.057619e+09  1.055846e+09
7.973497e-02   -3.631260e+06  5.151761e+05  1.055657e+09  -1.691502e+07  -1.283278e+07  7.066374e+06  -3.508470e+08  1.057932e+09  1.056138e+09
8.019654e-02   -3.676818e+06  5.198219e+05  1.055945e+09  -1.692104e+07  -1.284111e+07  7.058662e+06  -3.509294e+08  1.058240e+09  1.056426e+09
8.065790e-02   -3.722504e+06  5.244534e+05  1.056230e+09  -1.692712e+07  -1.284930e+07  7.050967e+06  -3.510108e+08  1.058546e+09  1.056712e+09
8.111905e-02   -3.768308e+06  5.290727e+05  1.056512e+09  -1.693325e+07  -1.285735e+07  7.043287e+06  -3.510910e+08  1.058849e+09  1.056994e+09
8.157999e-02   -3.814227e+06  5.336825e+05  1.056791e+09  -1.693942e+07  -1.286527e+07  7.035626e+06  -3.511702e+08  1.059149e+09  1.057273e+09
8.204071e-02   -3.860259e+06  5.382851e+05  1.057067e+09  -1.694566e+07  -1.287306e+07  7.027987e+06  -3.512484e+08  1.059446e+09  1.057549e+09
8.250122e-02   -3.906401e+06  5.428819e+05  1.057340e+09  -1.695196e+07  -1.288072e+07  7.020371e+06  -3.513255e+08  1.059740e+09  1.057823e+09
8.296152e-02   -3.952652e+06  5.474743e+05  1.057610e+09  -1.695831e+07  -1.288825e+07  7.012780e+06  -3.514017e+08  1.060032e+09  1.058093e+09
8.342161e-02   -3.999012e+06  5.520633e+05  1.057877e+09  -1.696472e+07  -1.289567e+07  7.005216e+06  -3.514768e+08  1.060320e+09  1.058361e+09
8.388148e-02   -4.045477e+06  5.566512e+05  1.058142e+09  -1.697119e+07  -1.290298e+07  6.997681e+06  -3.515509e+08  1.060606e+09  1.058625e+09
8.434115e-02   -4.092049e+06  5.612405e+05  1.058403e+09  -1.697771e+07  -1.291018e+07  6.990177e+06  -3.516241e+08  1.060889e+09  1.058887e+09
8.480060e-02   -4.138724e+06  5.658310e+05  1.058661e+09  -1.698428e+07  -1.291728e+07  6.982707e+06  -3.516962e+08  1.061169e+09  1.059146e+09
8.525984e-02   -4.185498e+06  5.704234e+05  1.058917e+09  -1.699089e+07  -1.292428e+07  6.975274e+06  -3.517673e+08  1.061446e+09  1.059402e+09
8.571888e-02   -4.232371e+06  5.750197e+05  1.059170e+09  -1.699755e+07  -1.293119e+07  6.967878e+06  -3.518376e+08  1.061720e+09  1.059655e+09
8.617770e-02   -4.291063e+06  5.737151e+05  1.059410e+09  -1.700398e+07  -1.293829e+07  6.959179e+06  -3.518974e+08  1.061990e+09  1.059895e+09
8.663631e-02   -4.337720e+06  5.783049e+05  1.059657e+09  -1.701074e+07  -1.294526e+07  6.950906e+06  -3.519660e+08  1.062259e+09  1.060143e+09
8.709471e-02   -4.384446e+06  5.828935e+05  1.059903e+09  -1.701761e+07  -1.295211e+07  6.942680e+06  -3.520339e+08  1.062527e+09  1.060389e+09
8.755290e-02   -4.431247e+06  5.874872e+05  1.060147e+09  -1.702456e+07  -1.295886e+07  6.934510e+06  -3.521011e+08  1.062792e+09  1.060634e+09
8.801088e-02   -4.478126e+06  5.920893e+05  1.060389e+09  -1.703159e+07  -1.296551e+07  6.926396e+06  -3.521676e+08  1.063055e+09  1.060876e+09
8.846865e-02   -4.525079e+06  5.967012e+05  1.060628e+09  -1.703868e+07  -1.297207e+07  6.918339e+06  -3.522333e+08  1.063316e+09  1.061115e+09
8.892621e-02   -4.572107e+06  6.013244e+05  1.060865e+09  -1.704583e+07  -1.297853e+07  6.910342e+06  -3.522982e+08  1.063575e+09  1.061353e+09
8.938356e-02   -4.619206e+06  6.059599e+05  1.061100e+09  -1.705304e+07  -1.298490e+07  6.902404e+06  -3.523623e+08  1.063832e+09  1.061588e+09
8.984070e-02   -4.666378e+06  6.106089e+05  1.061333e+09  -1.706031e+07  -1.299119e+07  6.894526e+06  -3.524257e+08  1.064086e+09  1.061821e+09
9.029764e-02   -4.713618e+06  6.152704e+05  1.061563e+09  -1.706763e+07  -1.299740e+07  6.886711e+06  -3.524884e+08  1.064338e+09  1.062052e+09
9.075436e-02   -4.760926e+06  6.199459e+05  1.061792e+09  -1.707500e+07  -1.300353e+07  6.878961e+06  -3.525503e+08  1.064589e+09  1.062281e+09
9.121088e-02   -4.808310e+06  6.246357e+05  1.062018e+09  -1.708243e+07  -1.300958e+07  6.871280e+06  -3.526115e+08  1.064837e+09  1.062508e+09
9.166719e-02   -4.856620e+06  6.268338e+05  1.062242e+09  -1.709326e+07  -1.301602e+07  6.863189e+06  -3.526708e+08  1.065084e+09  1.062732e+09
9.212329e-02   -4.903577e+06  6.315404e+05  1.062467e+09  -1.710102e+07  -1.302254e+07  6.854898e+06  -3.527317e+08  1.065331e+09  1.062958e+09
9.257918e-02   -4.950567e+06  6.362668e+05  1.062691e+09  -1.710886e+07  -1.302892e+07  6.846662e+06  -3.527923e+08  1.065577e+09  1.063182e+09
9.303487e-02   -4.997600e+06  6.410082e+05  1.062913e+09  -1.711678e+07  -1.303518e+07  6.838493e+06  -3.528522e+08  1.065820e+09  1.063405e+09
9.349034e-02   -5.044678e+06  6.457654e+05  1.063133e+09  -1.712476e+07  -1.304132e+07  6.830393e+06  -3.529115e+08  1.066062e+09  1.063625e+09
9.394561e-02   -5.091800e+06  6.505393e+05  1.063352e+09  -1.713279e+07  -1.304736e+07  6.822361e+06  -3.529702e+08  1.066302e+09  1.063844e+09
9.440068e-02   -5.138963e+06  6.553314e+05  1.063568e+09  -1.714087e+07  -1.305331e+07  6.814398e+06  -3.530281e+08  1.066540e+09  1.064061e+09
9.485553e-02   -5.186169e+06  6.601435e+05  1.063782e+09  -1.714900e+07  -1.305916e+07  6.806503e+06  -3.530854e+08  1.066776e+09  1.064275e+09
9.531018e-02   -5.245371e+06  6.589728e+05  1.063985e+09  -1.715691e+07  -1.306522e+07  6.797265e+06  -3.531329e+08  1.067009e+09  1.064479e+09
